species,category,10,20,30,40,50,60,70,80,90,100
Steelhead lower columbia river winter dps,Widespread steelhead,130.860260031,130.24850195,127.551185909,124.550949944,123.372385351,122.557924272,119.428411207,119.058916749,118.237673038,117.861112533
Chum puget soundstrait of georgia esu,Widespread salmon,136.655829099,133.749029472,130.855391335,133.152069427,128.926282687,129.636878809,127.626744404,127.201913348,126.511423521,123.30167521
Olympic mudminnow,Locally endemic,136.800926089,134.130856867,127.599928098,127.200712106,127.228807905,127.001638195,126.072040842,125.725535245,125.526461334,125.526461334
Chinook upper columbia river summerfall run esu,Widespread salmon,135.883219599,133.512979651,131.396199251,130.30292391,130.186143509,127.459574707,125.936186928,125.344498432,125.181063123,121.593533618
Yellowstone cutthroat trout,Widespread trout,139.962694546,139.962694546,138.905389092,138.935002238,138.877696785,138.828083638,138.798470492,138.741165038,138.634246438,137.24959875
Bonneville cutthroat trout,Widespread trout,137.776027879,139.962694546,139.962694546,135.746596441,137.738722426,137.746596441,137.522624321,135.709290987,135.485318867,135.455705721
Chub northern leatherside,Locally endemic,138.702988544,138.952710614,136.683391465,137.516080609,136.676803985,138.926526055,136.73961812,136.442606663,136.442606663,136.442606663
Lahontan cutthroat trout,Widespread trout,138.644927536,141.97826087,141.97826087,138.644927536,138.644927536,138.644927536,138.644927536,138.623188406,138.623188406,138.623188406
Sockeye snake river esu,Widespread salmon,135.806934658,135.806934658,135.806934658,135.806934658,135.806934658,135.806934658,135.806934658,135.806934658,135.806934658,135.806934658
Sculpin margined,Locally endemic,134.784945449,132.673786593,137.888841144,133.623473296,133.512315229,133.361635566,131.189330155,131.142798542,131.031640474,131.031640474
Steelhead southwest washington dps,Widespread steelhead,136.013997123,136.013997123,125.875424141,134.526513329,133.806557545,124.592614225,128.397677802,124.026630576,123.539147566,123.539147566
Steelhead middle columbia river dps,Widespread steelhead,134.868285026,132.51879693,133.400089632,134.583340918,133.222722983,129.860721785,131.843696685,121.743691442,128.048500958,118.903028555
Pacific lamprey,Widespread lamprey,138.639483865,138.748236014,138.387720413,138.387720413,135.210727551,126.15933154,119.606243372,122.896292704,115.370325765,99.5543147611
Sockeye okanogan river esu,Widespread salmon,134.714553847,136.686138785,134.714553847,134.714553847,134.714553847,134.714553847,134.400691032,134.400691032,134.400691032,134.400691032
Chinook puget sound esu,Widespread salmon,136.662878056,136.390157692,132.576138022,132.239016182,131.895968988,128.925705743,128.846466534,128.335324004,127.382008531,124.15961157
Pink even year esu,Widespread salmon,134.719026924,134.70477076,134.70477076,134.418412868,134.418412868,133.13743992,134.123183628,134.123183628,132.84221068,132.84221068
Dace longnose,Locally endemic,116.535946511,101.50651916,94.94081333,88.3516295451,86.3056009012,83.5263713286,74.2774783974,77.2155994168,69.9929504844,64.2771800518
Chinook deschutes river summerfall run esu,Widespread salmon,135.801020468,135.801020468,135.801020468,135.801020468,135.801020468,135.801020468,135.801020468,135.801020468,135.801020468,135.801020468
Sockeye baker river esu,Widespread salmon,135.904206094,135.904206094,135.904206094,135.904206094,135.904206094,135.904206094,135.904206094,135.904206094,135.904206094,135.904206094
Steelhead upper willamette river dps,Widespread steelhead,132.577991976,140.970386854,138.903669635,138.903669635,132.247221262,135.63961614,135.375562645,131.982966385,130.709567096,130.4455136
Coho olympic peninsula esu,Widespread salmon,133.281099396,133.281099396,133.281099396,133.281099396,128.812761164,128.812761164,129.650896526,129.650896526,125.182558433,125.182558433
Chinook snake river springsummer run esu,Widespread salmon,137.880260306,133.772743573,135.421079669,132.34280413,131.168584307,130.90144866,129.42533671,129.330768077,128.595364511,126.964405821
Chinook washington coast esu,Widespread salmon,136.468857986,135.967403098,127.93467511,134.282984658,127.250256671,126.876519949,120.943754845,122.848317987,120.259336694,119.732324081
Steelhead klamath mountains province dps,Widespread steelhead,138.797038911,140.375200382,139.202104122,138.988100377,134.638400652,137.559590968,136.356629879,133.99544924,136.005009216,129.118965167
Bull trout,Widespread trout,123.096855219,90.3341829551,89.0175743008,75.6182930793,77.8813974285,73.7877262027,67.3333447691,59.6741949849,55.6700027684,50.232539542
Sockeye lake pleasant esu,Widespread salmon,133.817639918,133.817639918,133.817639918,133.817639918,133.817639918,133.817639918,133.817639918,133.817639918,133.817639918,133.817639918
Sockeye quinalt lake esu,Widespread salmon,134.309521143,134.309521143,134.309521143,134.309521143,134.309521143,134.309521143,134.309521143,134.309521143,134.309521143,134.309521143
Sucker shortnose,Locally endemic,137.129347279,139.277386147,138.268040353,135.395588204,135.395588204,135.545426501,133.663628557,133.163628557,132.792975837,132.792975837
Steelhead lower columbia river summer dps,Widespread steelhead,133.466481725,133.397476331,129.087013868,129.087013868,124.860502132,127.794710609,124.326983857,124.016763148,123.483244873,123.483244873
Eulachon,Locally endemic,130.818327379,126.65983936,114.061889378,107.94045472,105.66768615,104.979900555,99.0481364752,99.1148038824,97.6609555791,97.1075924937
Chub alvord,Locally endemic,143,141.97826087,141.97826087,138.273987099,138.295726229,138.273987099,138.273987099,138.273987099,138.273987099,138.273987099
Sculpin wood river,Locally endemic,141.992125984,141.992125984,140.984433677,140.976559661,140.968867353,140.976559661,140.960993337,140.960993337,140.960993337,140.960993337
Sockeye lake wenatchee esu,Widespread salmon,134.16500492,134.16500492,134.16500492,134.16500492,134.16500492,134.16500492,134.16500492,134.16500492,134.16500492,134.16500492
Steelhead olympic peninsula dps,Widespread steelhead,133.248295644,133.248295644,136.375827284,133.248295644,128.806731147,129.624122927,129.624122927,125.182558433,125.182558433,125.182558433
Chum pacific coast esu,Widespread salmon,136.271976967,135.95876007,127.897974174,128.878142071,128.423882107,123.363096708,119.155458058,118.339579361,116.655458378,112.62423721
Steelhead puget sound dps,Widespread steelhead,133.895777521,133.947862372,133.161142043,131.823045203,129.436915649,128.11348276,127.598985826,126.883616564,125.714822849,123.037745803
Whitefish bear lake,Locally endemic,138.772268586,138.772268586,138.772268586,138.772268586,138.772268586,138.772268586,138.772268586,138.772268586,138.772268586,138.772268586
Burbot,Locally endemic,135.752592179,131.095703057,128.797767387,128.948835918,129.770829331,129.399354589,128.748650875,127.151946768,124.273877434,124.248965317
Sculpin shoshone,Locally endemic,140.977118243,140.977118243,140.977118243,140.977118243,140.977118243,140.977118243,140.977118243,140.977118243,140.977118243,140.977118243
Steelhead upper columbia river dps,Widespread steelhead,136.473900563,133.441374697,133.441374697,130.955286426,130.955286426,129.45055387,129.490562723,127.964463285,125.800822616,122.696997459
Sucker mountain,Locally endemic,134.113410705,117.932568839,112.986148486,113.18480876,109.832429269,107.152947857,97.2808178209,97.7945765019,93.2896711069,90.6078954437
Sculpin paiute,Locally endemic,124.695045316,119.14332248,122.22365094,115.448069136,104.05026095,102.378577063,102.43148074,101.158815793,96.2691506859,95.1516651267
Coho southern oregonnorthern california esu,Widespread salmon,140.757448143,139.312606484,140.426908705,138.982067382,139.078840532,138.773829474,134.312919446,137.425762253,136.014891683,132.659496683
Westslope cutthroat trout,Widespread trout,135.782960651,133.552206152,133.228422143,131.964948151,131.869137272,128.600857095,131.167109974,131.014450572,124.169556842,119.584271958
Coho puget soundstrait of georgia esu,Widespread salmon,134.031087517,133.743747971,132.325410526,130.726718375,131.459906687,128.554253863,127.582935256,126.826417926,125.610344739,122.869311306
Chinook lower columbia river spring esu,Widespread salmon,130.92332159,131.243423477,131.243423477,130.501262388,130.983328771,128.424584278,127.7586321,128.164489572,127.498537394,122.89837821
Whitefish mountain,Locally endemic,109.606269683,97.1496253065,88.7293627588,77.7229291121,68.7253641516,69.0619191173,59.9466061518,58.4920647839,47.0319183651,42.2987297185
Chum hood canal summer run esu,Widespread salmon,136.766593162,136.766593162,134.56019749,136.766593162,134.43162774,134.326790652,134.326790652,134.326790652,134.326790652,134.198220799
Sockeye ozette lake esu,Widespread salmon,133.817639918,133.817639918,133.817639918,133.817639918,133.817639918,133.817639918,133.817639918,133.817639918,133.817639918,133.817639918
Chum columbia river esu,Widespread salmon,135.425725082,134.295651067,131.655302779,131.721376149,128.064249114,129.6663469,129.025998612,126.076249888,125.4359016,121.807145263
Chub blue,Locally endemic,138.138693074,134.747549336,138.268040353,136.397387632,136.406733427,135.536080706,133.154282763,133.163628557,132.792975837,132.792975837
Sucker lost river,Locally endemic,137.618202057,136.268040353,136.768040353,135.88624241,134.38624241,135.536080706,133.154282763,135.17477378,132.792975837,132.792975837
Chinook snake river fall run esu,Widespread salmon,135.908905896,136.884355024,133.579743919,135.629140301,133.488649815,134.543986371,132.054418248,132.239370368,131.761094543,131.53918373
Coho oregon coast esu,Widespread salmon,136.409942236,136.28932142,136.11490152,135.319182908,134.956805699,134.735764314,131.374838596,130.970327768,130.834311481,130.576365751
Chinook oregon coast esu,Widespread salmon,138.776623125,136.455603682,137.914871801,135.651628074,133.330632975,132.203180082,131.816262199,131.552616913,131.159908056,130.772108043
Chinook southern or and northern ca coast esu,Widespread salmon,140.658147424,139.633284668,138.284860316,138.284860316,138.060642105,137.94300774,137.692245167,137.454892534,136.224101582,132.667429229
Steelhead snake river basin dps,Widespread steelhead,134.542951481,134.477660129,133.268496371,132.662550519,132.520725677,132.262321833,130.705853084,131.455248863,128.005952401,126.163121488
Chinook upper willamette river esu,Widespread salmon,133.597267767,135.792825876,135.792825876,131.390093643,131.390093643,131.390093643,129.734813613,129.253938101,128.699982792,128.492808668
Coho southwest washington esu,Widespread salmon,136.480325922,136.363693677,136.142100477,134.917307435,134.695714236,134.505793659,134.059407913,134.059407913,133.539733835,133.539733835
Chinook lower columbia river fall esu,Widespread salmon,130.870556654,128.832307305,129.399749826,127.614118503,127.25520653,123.191310583,122.731240794,124.862671032,121.288693981,117.119741746
Chinook upper columbia river spring run esu,Widespread salmon,133.570239069,133.570239069,133.570239069,133.570239069,131.047046952,131.225583255,131.225583255,129.702388823,129.702388823,129.557239698
Lamprey miller lake,Locally endemic,137.462680613,138.472026407,137.462680613,137.462680613,138.472026407,136.93470702,136.93470702,136.93470702,136.93470702,136.93470702
Chub borax lake,Locally endemic,138.962392896,138.962392896,138.962392896,138.962392896,138.962392896,138.962392896,138.962392896,138.962392896,138.962392896,138.962392896
Chinook middle columbia river spring run esu,Widespread salmon,138.835850768,131.499514114,131.480904891,130.211385673,128.800106909,128.39441742,126.420973968,125.857047065,119.137632842,118.963279446
Chub oregon,Locally endemic,132.560558289,134.594575908,130.820930998,133.941664029,129.702789656,128.943753552,128.882215891,128.742114357,128.302672646,128.302672646
Sucker warner,Locally endemic,143,143,143,143,143,143,143,143,143,143
Pink odd year esu,Widespread salmon,140.994561671,140.994561671,133.653096447,133.869884478,131.098171553,132.090112769,128.560579776,127.193588769,125.577272724,117.737129884
Dace leopard,Locally endemic,130.076975759,115.56140098,118.10352247,111.891185537,111.812709191,114.706588108,110.017196462,108.621687879,108.07258948,106.430401747
Steelhead oregon coast dps,Widespread steelhead,138.775767776,136.540385309,136.207188199,136.004913156,132.147599194,135.377984375,131.885663317,134.630322076,131.108856055,130.576365751
Coho lower columbia river esu,Widespread salmon,130.886278608,135.464502369,131.690658433,126.086572925,129.576937041,123.972851533,126.529078561,125.994942643,121.991132645,117.119741625
Whitefish pygmy,Locally endemic,125.825854632,131.16885867,124.367348681,126.025482473,117.485130232,119.89559289,120.516974987,114.686717359,118.338681573,114.48949396
